student_id,grade,section_anon,pred_label,proba_critical,confianza,n_bajo_acumulada,t3_confirma_riesgo,categoria,modelo,fecha_ejecucion,Science_T3_pred,I_and_S_T3_pred,Mathematics_T3_pred,English_T3_pred,Lengua_Castellana_T3_pred,Mandarin_T3_pred,Financial_Maths_T3_pred,ICT_STEM_T3_pred,Physical_Education_T3_pred,Research_Methodology_T3_pred,Science_T3_pred_confiable,I_and_S_T3_pred_confiable,Mathematics_T3_pred_confiable,English_T3_pred_confiable,Lengua_Castellana_T3_pred_confiable,Mandarin_T3_pred_confiable,Financial_Maths_T3_pred_confiable,ICT_STEM_T3_pred_confiable,Physical_Education_T3_pred_confiable,Research_Methodology_T3_pred_confiable,Science_T3_p10,I_and_S_T3_p10,Mathematics_T3_p10,English_T3_p10,Lengua_Castellana_T3_p10,Mandarin_T3_p10,Financial_Maths_T3_p10,ICT_STEM_T3_p10,Physical_Education_T3_p10,Research_Methodology_T3_p10,Science_T3_p90,I_and_S_T3_p90,Mathematics_T3_p90,English_T3_p90,Lengua_Castellana_T3_p90,Mandarin_T3_p90,Financial_Maths_T3_p90,ICT_STEM_T3_p90,Physical_Education_T3_p90,Research_Methodology_T3_p90,Science_T3_amp,I_and_S_T3_amp,Mathematics_T3_amp,English_T3_amp,Lengua_Castellana_T3_amp,Mandarin_T3_amp,Financial_Maths_T3_amp,ICT_STEM_T3_amp,Physical_Education_T3_amp,Research_Methodology_T3_amp,incertidumbre_promedio,cluster,perfil,avg_T1,avg_T2,tendencia_general,n_bajo_T1,n_bajo_T2,total_absences,n_f1,n_f2,indice_disciplinario,n_destacadas_T2,min_nota_T2,marcador_LSC,Science_T1,Science_T2,Science_T3,I_and_S_T1,I_and_S_T2,I_and_S_T3,Mathematics_T1,Mathematics_T2,Mathematics_T3,English_T1,English_T2,English_T3,Lengua_Castellana_T1,Lengua_Castellana_T2,Lengua_Castellana_T3,Mandarin_T1,Mandarin_T2,Mandarin_T3,Financial_Maths_T1,Financial_Maths_T2,Financial_Maths_T3,ICT_STEM_T1,ICT_STEM_T2,ICT_STEM_T3,Physical_Education_T1,Physical_Education_T2,Physical_Education_T3,Research_Methodology_T1,Research_Methodology_T2,Research_Methodology_T3,Science_min_T3,I_and_S_min_T3,Mathematics_min_T3,English_min_T3,Lengua_Castellana_min_T3,Mandarin_min_T3,Financial_Maths_min_T3,ICT_STEM_min_T3,Physical_Education_min_T3,Research_Methodology_min_T3,pct_asistencia,late,early_leave,absence_class,total_absences_desc,n_f1_desc,n_f2_desc,proba_recovery,proba_riesgo,fecha_corte,fecha_corte_tag
15-028,7,7A,no_risk,0.03227429027488706,0.8273827942414604,0,False,Sin Riesgo,Random Forest v2,2026-05-25,5.03,5.67,4.45,4.71,5.09,5.43,5.57,5.3,6.04,5.27,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.6127060931899635,4.865,3.4000000000000004,3.7975,4.0989393939393945,4.9374175824175826,5.035714285714286,3.9824774774774774,5.547666666666666,5.005133689839571,5.670181818181818,6.5815,5.809738884968242,5.8999999999999995,5.926331168831169,6.019523809523809,6.433367346938776,6.925833333333333,6.8,5.563063725490196,1.0574757249918543,1.7165,2.4097388849682417,2.1024999999999996,1.8273917748917743,1.0821062271062267,1.3976530612244904,2.943355855855856,1.2523333333333335,0.5579300356506245,1.635,0,Rendimiento sólido,5.866666666666667,5.766666666666667,-0.09999999999999994,0,0,41,0,0,0,4,4.4,0,5.0,4.4,5.3,6.8,5.7,7.0,5.7,4.8,4.3,4.9,5.1,4.6,6.1,6.2,5.6,5.7,5.3,4.6,6.1,7.0,5.3,5.8,7.0,6.9,6.7,6.4,6.7,,,,2.95,1.0,2.12,2.5,1.0,1.75,1.0,1.0,1.0,,75.6,11,3,10,41,0,0,0.14034291548365257,0.17261720575853964,23 de May de 2026,23_05_26
18-039,9,9B,no_risk,0.004128660301086743,0.9649759004435368,0,False,Sin Riesgo,Random Forest v2,2026-05-25,5.63,6.05,4.74,6.17,4.93,5.33,5.72,6.48,6.3,5.45,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,5.076236559139785,5.294868421052632,3.5440384615384617,5.3,3.9921969696969692,5.0842307692307696,5.035714285714286,4.926813655761024,5.4687301587301596,5.291176470588234,6.45,6.95,6.236,6.8500000000000005,6.3,5.700769230769231,7.0,7.0,6.935,5.8999999999999995,1.3737634408602153,1.6551315789473682,2.691961538461538,1.5500000000000007,2.3078030303030306,0.616538461538461,1.9642857142857144,2.0731863442389757,1.46626984126984,0.6088235294117652,1.631,0,Rendimiento sólido,6.1450000000000005,6.005,-0.14000000000000004,0,0,38,0,0,0,5,4.5,0,6.45,5.65,5.75,6.2,6.0,5.9,6.2,5.7,3.9,6.1,6.1,6.7,5.0,4.5,4.5,5.5,5.5,5.4,7.0,6.8,6.4,5.9,7.0,6.6,6.2,6.4,6.6,6.9,6.4,6.5,1.0,1.0,1.08,1.0,2.88,1.75,1.0,1.0,1.0,1.0,42.1,6,0,22,38,0,0,0.03089543925537677,0.03502409955646351,23 de May de 2026,23_05_26
18-154,9,9A,no_risk,0.04710819496161179,0.739666765771983,0,False,Sin Riesgo,Random Forest v2,2026-05-25,4.78,5.39,4.16,4.26,5.15,5.45,5.68,4.85,5.76,5.29,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.49767192353644,5.0,3.5016889074228525,3.581752305665349,4.631954545454546,5.055760073260073,5.113896103896104,4.083392857142858,5.259626911314984,5.099705882352942,5.032819969278033,5.785247035573122,4.834,4.870833333333334,5.7345075757575765,5.934,6.524702380952379,6.098558558558558,6.247266303000248,5.556299019607843,0.5351480457415931,0.7852470355731223,1.332311092577147,1.2890810276679847,1.1025530303030306,0.8782399267399272,1.4108062770562757,2.0151657014157003,0.9876393916852635,0.4565931372549006,1.079,0,Rendimiento sólido,5.369999999999999,5.62,0.25,0,0,24,2,0,2,2,4.4,0,5.0,5.4,4.0,4.7,4.4,5.0,4.4,4.4,4.6,5.5,5.7,5.6,5.8,5.9,4.9,5.4,5.6,5.4,5.3,6.3,7.0,5.4,7.0,7.0,6.3,5.7,5.6,5.9,5.8,5.3,2.2,3.17,3.4,1.6,1.22,1.75,1.3,1.0,1.0,1.22,62.5,4,1,9,24,2,0,0.21322503926640538,0.2603332342280172,23 de May de 2026,23_05_26
24-082,9,9A,recovery,0.06698770000422635,0.47743137256997964,0,False,Sin Riesgo,Random Forest v2,2026-05-25,4.82,5.48,4.18,4.35,5.16,5.26,5.4,5.21,5.58,5.19,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.418041218637993,5.0807142857142855,3.4045,3.6179999999999994,4.453,4.7,4.960223214285714,4.106216216216216,4.8741666666666665,4.666666666666667,5.149619047619047,5.966666666666667,4.887241840493677,5.093439153439154,5.762,5.746071428571429,5.9835714285714285,6.645945945945946,6.11797247706422,5.507126696832579,0.7315778289810542,0.8859523809523813,1.4827418404936767,1.4754391534391544,1.3089999999999993,1.0460714285714285,1.0233482142857149,2.5397297297297294,1.2438058103975536,0.8404600301659118,1.258,1,Riesgo multidimensional,5.3149999999999995,5.6450000000000005,0.3300000000000002,0,0,107,0,1,3,3,4.4,0,4.35,5.15,5.5,4.6,4.6,4.6,4.1,4.4,3.5,5.8,5.5,5.8,6.2,6.2,5.4,4.8,4.8,4.3,6.3,6.8,,5.4,7.0,5.3,5.6,6.0,4.5,6.0,6.0,5.9,2.88,3.1,3.63,1.52,1.0,2.8,1.0,1.0,1.3,1.0,47.7,16,5,56,107,0,1,0.47743137256997964,0.544419072574206,23 de May de 2026,23_05_26
18-093,9,9A,no_risk,0.0,0.9362352134768323,0,False,Sin Riesgo,Random Forest v2,2026-05-25,6.09,6.43,5.81,5.61,5.95,5.59,5.71,6.15,6.42,5.38,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,5.017153225806452,5.635178571428571,4.460933069224353,4.7,4.8125,4.974294871794872,5.035714285714286,4.218214285714287,5.545714285714285,5.291176470588234,6.6447142857142865,7.0,6.5,6.546571428571428,6.768,6.25,6.318333333333333,7.0,6.9871428571428575,5.583319327731092,1.6275610599078343,1.364821428571429,2.039066930775647,1.846571428571428,1.9554999999999998,1.2757051282051277,1.2826190476190478,2.7817857142857134,1.4414285714285722,0.29214285714285815,1.591,0,Rendimiento sólido,6.26,6.49,0.2299999999999999,0,0,22,1,0,1,10,6.1,0,6.4,6.4,5.55,6.2,6.6,5.8,6.4,6.7,5.7,6.1,6.1,6.6,6.1,6.3,6.4,6.1,6.1,6.3,7.0,6.5,7.0,5.9,7.0,7.0,6.3,6.6,6.6,6.1,6.6,6.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.2,5,0,7,22,1,0,0.0637647865231678,0.0637647865231678,23 de May de 2026,23_05_26
15-011,9,9A,no_risk,0.015875434735395558,0.8968821892998639,0,False,Sin Riesgo,Random Forest v2,2026-05-25,5.14,5.53,4.37,5.01,5.0,5.52,5.86,5.02,5.99,5.22,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.621097222222222,4.738333333333334,3.4000000000000004,4.072916666666666,3.9,5.0,5.269755639097744,4.018000000000001,5.391111111111111,4.719428571428572,6.156524731182795,6.666307692307693,6.233333333333333,6.022857142857143,6.101666666666667,6.067252747252747,6.658095238095238,6.730833333333334,6.650626911314985,5.567142857142857,1.5354275089605736,1.9279743589743585,2.833333333333333,1.949940476190477,2.2016666666666667,1.0672527472527467,1.3883395989974945,2.712833333333333,1.2595158002038742,0.847714285714285,1.772,0,Rendimiento sólido,5.84,6.035,0.19500000000000012,0,0,42,0,0,0,7,4.4,0,5.1,6.45,5.15,5.8,5.0,4.4,5.4,4.4,3.1,6.0,6.2,6.4,5.2,6.1,4.3,5.6,6.0,5.7,6.5,6.8,7.0,6.1,7.0,7.0,6.1,6.1,5.6,6.6,6.3,5.5,1.34,1.9,2.65,1.0,1.52,1.3,1.0,1.0,1.0,1.0,40.5,0,2,25,42,0,0,0.08724237596474056,0.10311781070013612,23 de May de 2026,23_05_26
15-049,9,9A,no_risk,0.047426265775518645,0.7148521625017388,0,False,Sin Riesgo,Random Forest v2,2026-05-25,4.94,5.63,4.45,4.52,5.07,5.39,5.54,5.24,6.0,5.32,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.528369431643625,5.043030303030302,3.384049803407602,3.5831159420289858,4.084642857142857,4.957617094017094,5.0357142857142865,3.8537500000000007,5.4,5.1177899159663855,5.347564397967625,6.390357142857143,5.854285714285714,5.7,5.903333333333334,5.943999999999999,6.302714285714285,6.867142857142857,6.734285714285714,5.5769432773109235,0.8191949663239999,1.3473268398268408,2.4702359108781122,2.1168840579710144,1.8186904761904774,0.9863829059829055,1.2669999999999986,3.0133928571428568,1.3342857142857136,0.459153361344538,1.563,0,Rendimiento sólido,5.485,5.775,0.2900000000000002,0,0,42,0,1,3,5,4.2,0,4.75,6.15,5.5,4.9,4.2,4.5,6.0,4.6,2.8,4.6,5.2,3.7,5.6,6.4,4.8,6.1,5.3,5.0,5.0,6.8,7.0,6.1,7.0,5.3,6.1,6.4,4.6,5.7,5.7,5.9,1.83,3.18,2.05,2.65,1.0,1.45,1.15,1.0,1.0,1.45,73.8,13,0,11,42,0,1,0.23772157172274214,0.2851478374982608,23 de May de 2026,23_05_26
21-052,9,9A,critical,0.33481902762965293,0.5854656135853666,2,False,Riesgo Teórico,Random Forest v2,2026-05-25,4.59,5.17,3.65,4.07,4.52,5.06,4.98,4.45,5.75,5.31,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,3.9867999999999997,4.4875,2.955428571428571,3.065,3.6636742424242423,4.598999999999999,4.517857142857142,2.5675,5.024192660550459,5.066553921568627,5.023377419354839,5.80375,4.482215851172273,5.18,5.116918904958677,5.4552564102564105,5.547728571428571,5.857445945945945,6.502,5.64003803245436,1.0365774193548392,1.3162500000000001,1.526787279743702,2.1149999999999998,1.4532446625344346,0.8562564102564112,1.029871428571429,3.289945945945945,1.4778073394495408,0.5734841108857331,1.468,1,Riesgo multidimensional,4.705,5.11,0.4049999999999999,2,2,161,0,0,0,2,3.1,0,4.05,4.9,4.9,2.7,3.1,5.0,4.0,3.4,2.6,4.7,5.2,4.6,5.0,5.8,4.8,3.9,5.1,3.3,5.5,6.8,,5.1,7.0,7.0,6.2,5.6,5.0,5.9,4.2,5.3,3.29,5.65,4.45,2.57,1.9,3.25,1.0,1.0,1.15,2.42,40.4,4,10,96,161,0,0,0.5854656135853666,0.9202846412150196,23 de May de 2026,23_05_26
14-046,9,9A,recovery,0.17220621974710557,0.5800010142888891,1,False,Sin Riesgo,Random Forest v2,2026-05-25,4.56,4.92,3.55,3.74,4.64,5.09,5.17,4.41,5.76,5.35,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.059523809523809,3.5225,3.0,2.933333333333333,3.9725000000000006,4.600925390399074,4.8325,3.4625,5.025,5.083466386554622,4.913500597371565,5.612499999999999,4.334029640084686,4.5,5.154646464646465,5.543571428571429,5.65,5.165874999999999,6.5,5.681840336134453,0.8539767878477553,2.089999999999999,1.3340296400846858,1.5666666666666669,1.1821464646464643,0.9426460381723549,0.8175000000000008,1.703374999999999,1.4749999999999996,0.5983739495798313,1.256,1,Riesgo multidimensional,4.819999999999999,5.37,0.5499999999999999,1,0,33,0,0,0,2,4.0,0,4.2,4.9,4.05,4.0,4.2,4.2,5.0,4.3,2.3,3.7,4.0,4.7,5.1,5.7,5.0,4.2,5.5,4.0,5.4,6.8,,4.8,7.0,5.3,6.4,6.0,6.6,5.4,5.3,5.3,3.18,3.85,3.03,4.22,1.9,2.73,1.0,1.15,1.0,1.98,72.7,2,0,9,33,0,0,0.5800010142888891,0.7522072340359947,23 de May de 2026,23_05_26
15-032,9,9A,no_risk,0.0024865550006471448,0.9166197515443637,0,False,Sin Riesgo,Random Forest v2,2026-05-25,5.46,5.93,5.16,5.08,5.54,5.61,5.61,5.12,6.34,5.39,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.780678225806452,5.300701754385965,3.9285562530178666,4.130000000000001,4.544871794871795,5.077275641025641,5.035714285714286,3.53,5.73274022211492,5.21360294117647,6.469660522273425,6.721,6.279999999999999,6.050454545454546,6.300000000000001,6.25,6.221571428571427,7.0,7.0,5.602,1.688982296466973,1.4202982456140347,2.3514437469821328,1.920454545454545,1.755128205128206,1.1727243589743592,1.1858571428571416,3.47,1.26725977788508,0.3883970588235304,1.662,0,Rendimiento sólido,5.87,6.165,0.2949999999999998,0,0,74,0,0,0,6,5.5,0,5.6,5.75,4.5,5.4,5.5,5.5,6.0,6.1,5.9,5.6,5.5,6.1,5.9,6.8,6.2,6.4,6.1,5.3,5.6,6.8,,6.1,7.0,3.5,6.2,6.5,7.0,5.9,5.6,5.7,1.49,1.82,1.0,1.68,1.0,1.0,1.0,1.0,1.0,1.38,70.3,6,0,22,74,0,0,0.0808936934549893,0.08338024845563645,23 de May de 2026,23_05_26
