student_id,grade,section_anon,pred_label,proba_critical,confianza,n_bajo_acumulada,t3_confirma_riesgo,categoria,modelo,fecha_ejecucion,Science_T3_pred,I_and_S_T3_pred,Mathematics_T3_pred,English_T3_pred,Lengua_Castellana_T3_pred,Mandarin_T3_pred,Financial_Maths_T3_pred,ICT_STEM_T3_pred,Physical_Education_T3_pred,Research_Methodology_T3_pred,Science_T3_pred_confiable,I_and_S_T3_pred_confiable,Mathematics_T3_pred_confiable,English_T3_pred_confiable,Lengua_Castellana_T3_pred_confiable,Mandarin_T3_pred_confiable,Financial_Maths_T3_pred_confiable,ICT_STEM_T3_pred_confiable,Physical_Education_T3_pred_confiable,Research_Methodology_T3_pred_confiable,Science_T3_p10,I_and_S_T3_p10,Mathematics_T3_p10,English_T3_p10,Lengua_Castellana_T3_p10,Mandarin_T3_p10,Financial_Maths_T3_p10,ICT_STEM_T3_p10,Physical_Education_T3_p10,Research_Methodology_T3_p10,Science_T3_p90,I_and_S_T3_p90,Mathematics_T3_p90,English_T3_p90,Lengua_Castellana_T3_p90,Mandarin_T3_p90,Financial_Maths_T3_p90,ICT_STEM_T3_p90,Physical_Education_T3_p90,Research_Methodology_T3_p90,Science_T3_amp,I_and_S_T3_amp,Mathematics_T3_amp,English_T3_amp,Lengua_Castellana_T3_amp,Mandarin_T3_amp,Financial_Maths_T3_amp,ICT_STEM_T3_amp,Physical_Education_T3_amp,Research_Methodology_T3_amp,incertidumbre_promedio,cluster,perfil,avg_T1,avg_T2,tendencia_general,n_bajo_T1,n_bajo_T2,total_absences,n_f1,n_f2,indice_disciplinario,n_destacadas_T2,min_nota_T2,marcador_LSC,Science_T1,Science_T2,Science_T3,I_and_S_T1,I_and_S_T2,I_and_S_T3,Mathematics_T1,Mathematics_T2,Mathematics_T3,English_T1,English_T2,English_T3,Lengua_Castellana_T1,Lengua_Castellana_T2,Lengua_Castellana_T3,Mandarin_T1,Mandarin_T2,Mandarin_T3,Financial_Maths_T1,Financial_Maths_T2,Financial_Maths_T3,ICT_STEM_T1,ICT_STEM_T2,ICT_STEM_T3,Physical_Education_T1,Physical_Education_T2,Physical_Education_T3,Research_Methodology_T1,Research_Methodology_T2,Research_Methodology_T3,Science_min_T3,I_and_S_min_T3,Mathematics_min_T3,English_min_T3,Lengua_Castellana_min_T3,Mandarin_min_T3,Financial_Maths_min_T3,ICT_STEM_min_T3,Physical_Education_min_T3,Research_Methodology_min_T3,pct_asistencia,late,early_leave,absence_class,total_absences_desc,n_f1_desc,n_f2_desc,proba_recovery,proba_riesgo,fecha_corte,fecha_corte_tag
17-048,7,7B,no_risk,0.007218087102826745,0.8983299780788748,0,False,Sin Riesgo,Random Forest v2,2026-05-25,5.53,6.1,5.3,5.01,5.44,5.48,5.44,5.48,6.33,5.35,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.808731231671555,5.23375,3.732666666666667,3.9979999999999998,4.263262899262899,4.948791208791208,5.035714285714286,3.4383333333333335,5.746146788990826,5.190245098039214,6.615268602150538,6.801666666666667,6.3,5.956233766233765,6.279999999999999,6.2410000000000005,6.019017857142857,7.0,6.933333333333334,5.564495798319327,1.806537370478983,1.567916666666667,2.567333333333333,1.9582337662337657,2.0167371007371004,1.2922087912087923,0.9833035714285714,3.5616666666666665,1.1871865443425076,0.374250700280113,1.732,0,Rendimiento sólido,5.811111111111112,6.166666666666666,0.35555555555555557,0,0,34,0,0,0,5,5.3,0,4.6,5.3,2.9,6.7,5.6,5.7,5.3,6.5,6.0,4.2,5.5,4.8,6.4,6.9,6.5,6.1,5.8,6.6,5.9,7.0,5.6,6.5,6.5,4.2,6.6,6.4,6.0,,,,2.58,1.0,1.15,2.73,1.0,1.07,1.0,1.0,1.0,,76.5,8,1,8,34,0,0,0.09445193481829812,0.10167002192112487,23 de May de 2026,23_05_26
14-075,9,9B,no_risk,0.022713205304059618,0.8751255624359235,0,False,Sin Riesgo,Random Forest v2,2026-05-25,5.1,5.21,3.98,5.43,4.51,5.28,5.41,4.9,6.12,5.15,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.716443586789554,4.4719999999999995,3.3866666666666667,4.074861111111111,3.766666666666667,5.0,4.862380952380953,3.9966666666666666,5.577463958060288,4.666,5.482,5.700238095238096,4.724055045871561,6.551666666666667,5.319220779220778,5.616068376068375,6.142857142857143,6.424424991793413,6.733333333333333,5.450609787018255,0.7655564132104464,1.2282380952380967,1.337388379204894,2.476805555555556,1.5525541125541111,0.616068376068375,1.2804761904761905,2.4277583251267463,1.1558693752730456,0.7846097870182547,1.363,0,Rendimiento sólido,5.874999999999999,5.64,-0.23499999999999996,0,0,39,0,0,0,3,4.7,1,5.75,5.7,5.1,5.7,5.3,4.8,5.2,4.7,3.7,5.6,5.0,6.2,5.8,4.9,4.2,5.4,4.8,4.6,6.5,6.8,5.0,5.6,6.6,6.9,6.9,6.9,7.0,6.3,5.7,5.3,1.41,1.75,2.58,2.05,1.97,2.35,1.0,1.0,1.0,1.0,43.6,1,4,22,39,0,0,0.10216123226001704,0.12487443756407665,23 de May de 2026,23_05_26
14-025,9,9B,no_risk,0.08982768242104174,0.6877173247915122,0,False,Sin Riesgo,Random Forest v2,2026-05-25,5.23,5.44,3.96,6.14,4.46,5.43,5.72,6.16,5.87,5.43,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.744814777963971,4.836666666666667,3.25,4.806818181818182,3.84125,5.107692307692307,4.832959183673469,4.5,5.131428571428572,5.138539215686274,5.6675,6.029166666666667,4.836911506715365,6.811,5.0886501377410465,5.700769230769231,7.0,7.0,6.466666666666666,5.850714285714286,0.9226852220360291,1.1925,1.5869115067153654,2.0041818181818183,1.2474001377410464,0.5930769230769233,2.167040816326531,2.5,1.3352380952380942,0.7121750700280121,1.426,0,Rendimiento sólido,5.53,5.8149999999999995,0.28500000000000003,1,0,41,0,0,0,4,4.2,0,5.7,5.95,4.75,4.9,5.1,5.8,5.9,5.2,3.4,3.3,6.5,6.9,5.2,4.2,4.9,5.8,6.0,6.1,6.8,6.3,5.8,5.1,6.4,6.8,6.6,6.5,6.2,6.0,6.0,5.7,1.26,2.5,1.67,2.65,2.95,1.15,1.0,1.38,1.0,1.0,41.5,4,1,24,41,0,0,0.22245499278744632,0.31228267520848807,23 de May de 2026,23_05_26
14-059,9,9B,recovery,0.15553014038241866,0.5904135903922832,2,False,Sin Riesgo,Random Forest v2,2026-05-25,4.78,5.13,3.42,5.42,3.88,5.17,3.87,4.88,5.63,5.22,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.447477100242803,4.466666666666666,2.2199999999999998,3.6068055555555554,3.2,4.703461538461538,2.0,4.083809523809524,5.094285714285715,4.852143382352941,5.0703299223416955,5.675576923076923,4.776833333333333,6.8,4.822370478983382,5.6000000000000005,5.45008620689655,6.465333333333333,6.2,5.52364705882353,0.6228528220988929,1.208910256410257,2.5568333333333335,3.1931944444444444,1.622370478983382,0.8965384615384622,3.4500862068965503,2.3815238095238085,1.105714285714285,0.6715036764705884,1.771,1,Riesgo multidimensional,4.99,5.15,0.15999999999999992,2,0,11,0,0,0,1,4.0,0,5.3,5.4,4.25,3.6,4.5,5.7,5.9,4.0,2.5,5.3,6.0,6.8,4.4,4.4,3.1,4.7,5.1,5.1,3.5,4.1,4.9,4.4,6.6,3.5,6.7,5.7,5.4,6.1,5.7,5.5,1.98,3.92,2.58,1.53,3.4,2.65,4.3,1.75,1.0,1.15,45.5,2,0,6,11,0,0,0.5904135903922832,0.7459437307747019,23 de May de 2026,23_05_26
25-196,9,9B,no_risk,0.10732665836017645,0.509523217396595,0,False,Sin Riesgo,Random Forest v2,2026-05-25,4.92,5.3,4.09,5.17,4.29,5.18,4.88,5.26,5.68,5.25,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.323613333333332,4.5489999999999995,3.02,3.5469999999999997,3.145,4.760000000000001,3.5160714285714287,3.6977477477477474,4.930000000000001,4.936411764705881,5.49251,6.042142857142856,5.3999999999999995,6.663999999999999,5.415,5.628571428571428,6.005,7.0,6.624666666666666,5.504,1.1688966666666678,1.4931428571428569,2.3799999999999994,3.116999999999999,2.27,0.8685714285714274,2.488928571428571,3.3022522522522526,1.6946666666666657,0.5675882352941182,1.935,0,Rendimiento sólido,5.04,5.645,0.6050000000000001,0,0,46,0,0,0,4,4.1,0,4.5,5.35,5.8,4.3,5.8,4.9,4.3,4.8,3.5,5.1,6.2,6.9,4.1,4.1,4.2,4.6,5.1,6.5,6.1,6.8,6.0,5.0,6.4,7.0,6.9,6.4,6.8,5.5,5.5,6.0,2.61,2.42,3.18,1.53,3.85,2.73,1.0,1.45,1.0,1.75,47.8,3,3,24,46,0,0,0.38315012424322903,0.4904767826034055,23 de May de 2026,23_05_26
25-203,9,9B,critical,0.7411615486857209,0.7411615486857209,7,True,Riesgo Confirmado,Random Forest v2,2026-05-25,4.58,5.32,3.83,4.15,3.66,4.98,4.05,3.73,5.97,5.2,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,3.9587810035842295,4.34175,2.674385321100918,2.03,1.745,4.496666666666667,2.3945238095238093,1.55,5.197500000000001,4.988205882352941,5.082779923195084,6.242666666666667,5.0775,6.15,4.9175,5.357505494505494,5.093214285714286,6.136261261261261,6.7,5.394391711229946,1.1239989196108549,1.9009166666666664,2.403114678899082,4.120000000000001,3.1725000000000003,0.860838827838827,2.6986904761904764,4.586261261261261,1.5024999999999995,0.40618582887700505,2.278,1,Riesgo multidimensional,4.32,3.761111111111111,-0.4833333333333334,3,6,126,1,0,1,0,2.3,0,4.2,3.85,2.15,3.1,3.7,2.1,4.0,2.4,2.1,4.0,5.0,1.6,3.5,2.3,1.7,2.5,2.6,1.4,5.4,3.0,2.9,5.0,,3.5,6.0,5.8,4.0,5.5,5.2,4.9,3.96,4.9,5.2,3.25,5.65,6.17,3.7,,1.15,1.98,65.1,52,5,44,126,1,0,0.22196905681997825,0.9631306055056992,23 de May de 2026,23_05_26
25-182,9,9B,critical,0.33497586413393726,0.49197052169109945,2,False,Riesgo Teórico,Random Forest v2,2026-05-25,4.67,5.12,3.85,4.36,4.0,5.04,4.34,4.32,5.75,5.18,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.0333499999999995,4.048333333333333,2.6325,2.545,2.89,4.497142857142857,2.4845238095238096,1.9166666666666667,4.863333333333333,4.66,5.085,5.87625,5.044134174311927,6.242666666666667,5.0,5.5,5.200798319327731,6.44990990990991,6.599999999999999,5.45856862745098,1.0516500000000004,1.8279166666666669,2.4116341743119274,3.6976666666666667,2.11,1.0028571428571427,2.7162745098039216,4.533243243243243,1.7366666666666655,0.7985686274509796,2.189,1,Riesgo multidimensional,4.68,4.74,0.05999999999999996,2,1,97,0,0,0,1,3.2,0,4.0,5.1,4.65,3.2,4.3,4.5,5.5,4.8,2.9,4.1,4.0,6.7,4.2,3.2,3.3,3.3,4.1,4.2,5.6,4.8,5.3,5.2,7.0,3.5,6.3,5.4,5.0,5.4,4.7,5.1,3.18,4.38,2.28,3.93,4.45,4.45,2.2,1.0,1.23,2.42,63.9,50,2,35,97,0,0,0.49197052169109945,0.8269463858250368,23 de May de 2026,23_05_26
14-054,9,9B,no_risk,0.02320963597780756,0.8292812017546942,0,False,Sin Riesgo,Random Forest v2,2026-05-25,4.98,5.2,4.03,5.2,4.45,5.31,5.62,4.63,6.15,5.01,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.519631059907835,4.289166666666667,3.2246330275229353,4.1335,3.6639999999999997,5.0,5.032485049833888,3.3393333333333333,5.6559966638865715,4.457333333333334,5.495228796992481,6.337,5.138357798165138,6.234999999999999,5.412307692307692,5.796999154691463,6.408571428571428,7.0,6.8,5.310663101604277,0.9755977370846463,2.047833333333333,1.9137247706422023,2.1014999999999997,1.7483076923076926,0.7969991546914628,1.3760863787375408,3.6606666666666667,1.1440033361134283,0.8533297682709433,1.662,0,Rendimiento sólido,5.955,5.316666666666666,-0.6666666666666665,0,0,65,0,0,0,1,4.6,0,5.95,5.45,3.75,5.3,5.7,4.0,5.8,4.8,2.7,5.7,6.4,5.1,5.1,4.9,3.4,6.1,5.0,3.9,7.0,4.6,5.4,5.7,,2.9,6.8,5.3,6.6,6.1,5.7,4.7,1.45,1.75,2.05,1.0,2.5,1.67,1.3,,1.0,1.15,49.2,4,0,33,65,0,0,0.1475091622674983,0.17071879824530586,23 de May de 2026,23_05_26
14-020,9,9B,no_risk,0.02043072060766375,0.8425595624005843,0,False,Sin Riesgo,Random Forest v2,2026-05-25,5.13,5.23,3.73,5.88,4.37,5.43,5.63,5.27,5.92,5.28,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.75199996313364,4.698,3.2211972477064226,4.400701754385965,3.8777142857142857,5.126846153846154,4.9319815668202756,4.1786666666666665,5.391111111111111,4.936411764705881,5.505449058196566,5.818636363636364,4.420598744567841,6.800000000000001,4.8906439393939385,5.751666666666666,6.513591269841269,7.0,6.524,5.646709939148073,0.7534490950629262,1.1206363636363639,1.1994014968614186,2.3992982456140357,1.0129296536796528,0.624820512820512,1.5816097030209937,2.8213333333333335,1.132888888888889,0.7102981744421912,1.336,0,Rendimiento sólido,5.66,5.745,0.08500000000000005,0,0,27,0,0,0,4,4.7,0,5.4,5.55,5.2,5.4,5.2,5.0,5.8,4.9,3.3,5.1,6.7,6.9,6.1,4.7,4.2,5.5,5.3,5.1,6.3,6.8,6.6,4.8,7.0,5.1,6.2,6.3,6.2,6.0,5.0,5.7,1.79,2.05,1.97,1.15,1.9,1.9,1.0,1.15,1.0,1.75,37.0,1,2,17,27,0,0,0.1370097169917522,0.15744043759941595,23 de May de 2026,23_05_26
21-082,9,9B,no_risk,0.06318866323902862,0.6639284241554755,0,False,Sin Riesgo,Random Forest v2,2026-05-25,5.14,4.88,3.64,4.97,4.13,5.27,4.61,5.43,5.44,4.94,confiable,confiable,confiable,confiable,confiable,orientativo,confiable,confiable,orientativo,no_viable,4.63030658422939,3.936,2.8960000000000004,2.9196666666666666,3.5978571428571424,4.933333333333334,2.65,4.098571428571429,4.398571428571429,4.166,5.582,5.7907222222222225,4.635624999999999,6.6,4.790454545454545,5.629175824175824,6.0,7.0,6.316875,5.487316176470587,0.9516934157706096,1.8547222222222226,1.7396249999999989,3.680333333333333,1.1925974025974027,0.6958424908424901,3.35,2.9014285714285712,1.918303571428571,1.321316176470587,1.961,0,Rendimiento sólido,5.624999999999999,5.325,-0.29999999999999993,0,0,99,0,0,0,3,4.0,0,5.25,5.75,4.65,5.6,4.7,4.2,5.2,4.6,3.5,5.1,6.7,2.4,5.4,4.0,3.8,4.8,4.5,4.9,6.8,6.1,5.3,5.3,6.1,4.8,6.8,5.9,3.8,6.0,4.9,4.3,1.75,2.28,2.65,1.15,2.95,3.03,1.0,1.45,1.0,1.83,37.4,10,1,62,99,0,0,0.2728829126054961,0.3360715758445247,23 de May de 2026,23_05_26
